,tarifa,alfa,conf_tip,cargas,fit_min,fit_med,fit_max,std_dev,custo_med,target,econ,conf_med,t_med
247,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0044,12.7,12.7,-0.00%,95.11%,0.57
248,ToU,1.0,Fuzzy,L3,0.927,1.02,1.11,0.055,13.4,13.8,2.49%,92.81%,0.605
249,Fixa,0.0,No_fuzzy,L2,1.16,1.23,1.26,0.027,12.7,12.7,-0.00%,79.37%,0.927
250,Fixa,0.0,Fuzzy,L2,1.25,1.27,1.28,0.0072,12.7,12.7,-0.00%,94.85%,0.551
251,ToU,0.5,Fuzzy,L2,1.1,1.14,1.19,0.026,13.5,13.8,2.12%,93.71%,0.588
252,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0025,14.3,14.3,0.00%,96.08%,1.67
253,ToU,0.75,Fuzzy,L2,1.01,1.1,1.15,0.037,13.3,13.8,3.76%,93.74%,0.644
254,Fixa,0.0,Fuzzy,L2,1.25,1.27,1.28,0.0057,12.7,12.7,-0.00%,95.51%,0.569
255,ToU,0.5,Fuzzy,L2,1.1,1.16,1.19,0.025,13.2,13.8,4.38%,94.74%,0.667
256,ToU,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0031,14.9,15.8,5.33%,95.57%,1.89
257,Fixa,0.0,No_fuzzy,L2,1.15,1.22,1.25,0.025,12.7,12.7,-0.00%,77.49%,0.808
258,Fixa,0.0,No_fuzzy,L2,1.14,1.21,1.26,0.034,12.7,12.7,-0.00%,75.10%,0.814
259,Fixa,0.0,No_fuzzy,L3,1.17,1.22,1.25,0.023,12.7,12.7,-0.00%,77.80%,0.851
260,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0048,12.7,12.7,-0.00%,95.75%,0.573
261,ToU,0.5,No_fuzzy,L2,1.06,1.11,1.17,0.033,13.4,13.8,2.67%,69.85%,0.763
262,Fixa,0.0,No_fuzzy,L1,1.22,1.25,1.27,0.0096,14.3,14.3,0.00%,86.87%,2.17
263,Fixa,0.0,No_fuzzy,L2,1.16,1.23,1.27,0.023,12.7,12.7,-0.00%,80.11%,0.884
264,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0041,12.7,12.7,-0.00%,94.86%,0.593
265,ToU,0.0,No_fuzzy,L2,1.14,1.22,1.25,0.028,14.2,13.8,-3.44%,77.69%,0.779
266,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0053,12.7,12.7,-0.00%,94.75%,0.512
267,ToU,0.25,Fuzzy,L1,1.19,1.23,1.26,0.015,13.8,15.8,12.73%,94.48%,2.51
268,ToU,1.0,Fuzzy,L2,0.963,1.03,1.11,0.039,13.3,13.8,3.10%,93.41%,0.695
269,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0043,12.7,12.7,-0.00%,95.72%,0.504
270,ToU,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0049,14.2,13.8,-3.27%,94.94%,0.584
271,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0045,12.7,12.7,-0.00%,95.61%,0.486
272,ToU,0.25,No_fuzzy,L3,1.12,1.16,1.2,0.024,13.4,13.8,2.69%,73.10%,0.641
273,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0029,14.3,14.3,0.00%,95.59%,1.62
274,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0026,14.3,14.3,0.00%,95.83%,1.76
275,ToU,0.75,No_fuzzy,L3,1.0,1.07,1.14,0.036,13.4,13.8,2.36%,68.82%,0.738
276,Fixa,0.0,No_fuzzy,L1,1.23,1.25,1.26,0.0086,14.3,14.3,0.00%,85.85%,2.33
277,ToU,0.25,No_fuzzy,L2,1.12,1.17,1.21,0.022,13.5,13.8,2.08%,76.62%,0.735
278,ToU,0.5,No_fuzzy,L3,1.06,1.12,1.17,0.028,13.3,13.8,3.23%,71.06%,0.833
279,Fixa,0.0,No_fuzzy,L2,1.15,1.23,1.26,0.026,12.7,12.7,-0.00%,80.08%,0.799
280,Fixa,0.0,No_fuzzy,L1,1.21,1.24,1.26,0.011,14.3,14.3,0.00%,85.58%,2.14
281,ToU,1.0,No_fuzzy,L1,0.988,1.13,1.24,0.064,13.7,15.8,13.11%,82.31%,2.32
282,ToU,1.0,No_fuzzy,L1,1.03,1.14,1.24,0.061,13.5,15.8,14.33%,81.89%,2.31
283,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0029,14.3,14.3,0.00%,95.50%,1.83
284,ToU,0.75,No_fuzzy,L3,0.989,1.09,1.14,0.042,13.1,13.8,4.53%,73.23%,0.851
285,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0026,14.3,14.3,0.00%,95.46%,1.77
286,ToU,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0025,15.2,15.8,3.76%,95.64%,1.8
287,ToU,1.0,Fuzzy,L3,0.926,1.03,1.11,0.05,13.4,13.8,2.90%,93.73%,0.699
288,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0027,14.3,14.3,0.00%,95.66%,2.04
289,ToU,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0055,13.9,13.8,-1.10%,95.71%,0.564
290,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0026,14.3,14.3,0.00%,95.75%,1.75
291,ToU,0.75,Fuzzy,L2,1.01,1.09,1.15,0.044,13.3,13.8,3.35%,93.95%,0.689
