Unnamed: 0,casa,tarifa,alfa,conf_tip,cargas,fit_min,fit_med,fit_max,std_dev,consumo,custo_med,target,conf_med %,t_med,temp,umidade,humor,omega,rel_alt
2023-02-23,32,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,23.0,14.5,12.7,12.7,0.79,791.0,25.3,67.0,8.1,0.19,0
2023-02-23,33,TC,0.0,Fuzzy,Padrão B,1.26,1.28,1.28,0.0044,14.5,12.7,12.7,0.96,606.0,0.2,99.4,6.9,0.17,1
2023-02-23,34,TC,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,2.0,4.86,4.24,4.24,0.98,72.0,22.9,9.5,1.7,0.5,1
2023-02-23,35,TC,0.0,Fuzzy,Padrão B,1.17,1.23,1.26,23.0,14.5,12.7,12.7,0.82,0.81,36.9,99.2,3.7,0.83,1
2023-02-23,36,TC,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.0061,14.5,12.7,12.7,0.95,512.0,15.3,44.6,7.9,0.17,1
2023-02-23,37,TC,0.0,Fuzzy,Padrão C,1.27,1.28,1.28,0.0022,4.86,4.24,4.24,0.98,0.0797,38.9,63.9,5.7,0.7,1
2023-02-23,38,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,23.0,14.5,12.7,12.7,0.79,793.0,25.8,51.2,9.4,0.2,0
2023-02-23,39,TC,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.0051,14.5,12.7,12.7,0.96,519.0,2.1,1.1,6.1,0.16,1
2023-02-23,40,TC,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0015,4.86,4.24,4.24,0.98,0.0758,26.8,5.0,8.3,0.23,1
2023-02-23,41,TC,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.3,0.87,2.4,29.1,34.6,9.3,0.37,0
2023-02-23,42,TC,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0018,4.86,4.24,4.24,0.98,0.0758,4.0,12.8,1.0,0.16,1
2023-02-23,43,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,23.0,14.5,12.7,12.7,0.79,786.0,32.2,42.7,0.0,0.8,0
2023-02-23,44,TC,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.0068,14.5,12.7,12.7,0.96,0.53,6.2,41.5,9.0,0.16,1
2023-02-23,45,TC,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.3,0.87,2.38,13.2,12.0,5.6,0.17,0
2023-02-23,46,TC,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0018,4.86,4.24,4.24,0.98,0.0664,22.1,85.9,4.2,0.45,1
2023-02-23,47,TC,0.0,No_fuzzy,Padrão C,1.27,1.28,1.28,0.0021,4.86,4.24,4.24,0.98,0.0692,2.0,10.3,8.5,0.16,0
2023-02-23,48,TC,0.0,Fuzzy,Padrão B,1.16,1.23,1.27,26.0,14.5,12.7,12.7,0.82,856.0,36.5,14.0,3.4,0.74,1
2023-02-23,49,TC,0.0,Fuzzy,Padrão B,1.22,1.25,1.27,13.0,14.5,12.7,12.7,0.87,756.0,22.4,1.0,0.7,0.5,1
2023-02-23,50,TC,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.3,0.87,2.39,17.8,66.4,9.1,0.16,0
2023-02-23,51,ToU,0.5,Fuzzy,Padrão A,1.14,1.2,1.24,26.0,16.4,13.3,15.8,0.85,3.03,34.5,58.3,3.2,0.78,1
2023-02-23,52,ToU,0.5,Fuzzy,Padrão A,1.17,1.2,1.24,21.0,16.4,13.6,15.8,0.95,2.6,6.4,21.5,3.4,0.16,1
2023-02-23,53,ToU,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0025,4.86,3.99,4.04,0.98,0.0735,33.4,37.0,6.1,0.59,1
2023-02-23,54,ToU,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0019,4.86,3.97,4.04,0.98,0.0792,26.1,43.1,5.1,0.5,1
2023-02-23,55,ToU,0.5,Fuzzy,Padrão A,1.16,1.21,1.25,25.0,16.4,13.4,15.8,0.95,2.59,6.7,89.1,3.8,0.17,1
2023-02-23,56,ToU,0.0,Fuzzy,Padrão A,1.27,1.27,1.28,2.0,16.4,14.9,15.8,0.96,1.79,8.2,2.9,1.9,0.16,1
2023-02-23,57,ToU,0.0,Fuzzy,Padrão A,1.27,1.27,1.28,0.0024,16.4,15.2,15.8,0.96,1.74,0.7,2.5,1.5,0.16,1
2023-02-23,58,ToU,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0018,4.86,4.01,4.04,0.98,0.0773,8.5,72.7,5.6,0.16,1
2023-02-23,59,ToU,0.0,No_fuzzy,Padrão C,1.27,1.28,1.28,0.0021,4.86,3.99,4.04,0.98,0.0677,25.9,40.3,4.4,0.51,0
